,comment
0,"Register for binance here and get 5% off trading fees for life: https://www.binance.com/en/register?ref=OH2JYEOZ

Thanks for watching and let me know if you have questions"
1,"I just bought for 0,5 bnb 4945820000 SAT but in my trust wallet it shows « 4,94xxx », like I just bought 4 tokens. Can you explain me please ? Thanks"
2,"$YEET is 2.5 days old, 11k holders already, 8 mil market cap, rugproof; contract renounced. Bonfire had 10k holders in 3 days. Yeet made 10k holders in 48 hours. $YEET will moon, you heard it here first."
3,Yeet token is massively charged to be the next Safemoon. My favourite pick so far.
4,"Yeet currently is doing good so far, 3 days and 11k holders, 8 MILLION MC!! RENOUNCED AND FULLY LOCKED LP WITH NO DEV WALLET! THE DEV BOUGHT AFTER THE PRESALE TOO!!"
5,"$YEET is 2.5 days old, 11k holders already, 8 mil market cap, rugproof; contract renounced. Bonfire had 10k holders in 3 days. Yeet made 10k holders in 48 hours. $YEET will moon, you heard it here first. Buy it on Poocoin through BNB now!! Get your 100x Profit!"
6,"$YEET is 2.5 days old, 11k holders already, 8 mil market cap, rugproof; contract renounced. Bonfire had 10k holders in 3 days. Yeet made 10k holders in 48 hours. $YEET will moon, you heard it here first."
7,supa fresh
8,I don’t understand how you don’t have YeetToken and bonfire in your list but I’m just mentioning it because I rock with you.
9,Faire Shibu 🚀🚀🚀🚀🙏🙏
10,"Why do I get an error saying ""the address I entered is not a valid BEP2 withdraw address""?  This is for when Im sending my BNB to my trust wallet"
11,"Moon Bud has such great developers. I think it has some potential. What do you guys think? 

If it hits Shiba numbers I’m a millionaire easily."
12,friends buy saturn but the amount of coins I bought does not appear in my trust wallet but in pancakeswapp if the balance of saturn that you buy appears. Someone the same or someone who can help me?
13,"$POLYDOGE - POLYGON network (Matic) is going to explode and this coin will explode with it, it has been pumping as all others have been slipping tonight but its still early! DYOR but expecting huge rewards from this coin, with staking and airdrops already rewarding us along with great gains!! $POLYDOGE"
14,YEET token! So early so much growth left!
15,Have you checked out YEET? Thats the next wave! Get in before it takes off! 🚀🔥
16,"$YEET is 48 hours old, 10k holders already, $12M market cap, RUGPROOF, contract renounced. Bonfire had 10K holders in 3 days - Yeet made 10k holders in 48 hours. $YEET will moon, you heard it here first. 🚀"
17,$ YEET
18,$ YEET
19,"Safemoon, Saturna and Bonfire! 🚀🔥🚀🔥"
20,Saturna!!!
21,I swear why cant this be like a coinbase purchase here you just click buy.. like wtf
22,I swap about 200 buck of bnb but its only showing 1.1 SAT? did i do somrthing wrong?
23,I can't use Trust Wallet or Binance cause I'm in America
24,"Which BNB do I buy on Binance? There are BNB/USDT , BNB/USD , BNB/BUSD .    I am buying with American cash that I uploaded to Binance."
25,See you all on the moon bois 🚀🚀🚀
26,Why won’t may saturna not show on my trust wallet it show the amount of coins I have but not the amount of money ?? Thanks for the help
27,How long does it take for your order to be sent to the saturna wallet? Blockchain has it noted how much I bought but that amount is not being put into my trust wallet
28,💎🚀💪
29,Let's goooo
30,$Saturna 🪐🚀
31,this coin is very serious and ridiculous potential
32,Saturna is smashing it get on board really early like 2 days and already 12.5k holders🚀🚀🚀🚀
33,i only see in my trustwallet the amount of coins. not in money. can i change that?
34,"Saturna
Happy coin
420x
NFTart 
Elongate
Best projects out there🚀🚀 thank me later💪🏻"
35,"📌 Disclaimer!

This is not financial advice. We do not accept any liability for any loss or damage which is incurred from you acting or not acting as a result of reading any of our publications. You acknowledge that you use the information we provide at your own risk."
36,very fresh indeed
37,Fair safe and Catzcoin 🥳🎊🎊🎊‼️🚀🚀
38,Womp womp
39,I bought $1000 and it only show 9.7 SAT where are the rest?
40,I don’t see it on pancake searching for Saturna? Any ideas?
41,🚀 believe this is going places
42,🔥
43,SATURNA $SAT 🚀🚀🪐
44,Where the hell do I find the graph for this? I bought on trustwallet through pancake swap but I don’t see dollar amount. Where can I see this at?
45,100x soon
46,"Just bought Saturna. I see my shares, but dont see a price or market value in Trust Wallet. Does anyone know why? Note- I had to add custom token"
47,Pitbull to the moon in BSC 144.000 holders
48,Let's go to saturn🚀
49,I'M IN ON SATURNA!!!!!
50,Mooooonn
51,Is there any predictions on this ??
52,Imma make like david bowie and shoot straight to the stars 🚀🚀🚀
53,"Crypto world truly changed again today ICP has launched it will allow block chain transactions to arrive faster then you can say ""hey is it sent yet"" the moment you send it 

This coin launched at a top ten market cap of sixty billion 

LETS GOOO!!!"
54,SATURNA! 🚀🚀🚀
55,"Nice gem, still early as fuk , great team behind."
56,"Lmfao, the growth is just unreal but im in"
57,"Love this coin, it's growing so fast, but still early enough to get in for big gains! Let's go guys...To Saturn"
58,#Saturna!🚀
59,"Subscription Trading is for users who do not want to invest, but want you to trade for them in their MT4 platform.

They simply fund their MT4 account through their broker and pay (subscription) for the period you are trading for them

They then submit their MT4 details to you after confirming payment and mt4 login details, you process it and you start trading for them.

NOTE: they can see your activities from their end and can also withdraw their profit anytime they want. That is why they subscribe before you start trading.
Cameron Fous is so good that I can attest to the accuracy of his trade s!gnals which is why I would recommend Him. Reachout to him through WhatsApp 
+1 (334) 617-4265
Telegram link: @cameronfous1"
60,"""Before I give advice I want to point out im not a financial advisor""

ok... ""before I write this comment I want to point out i'm not writing this comment"""
61,HOW CAN YOU PURCHASE THIS?! video won't load and i'v been hearing great things about this project!
62,"%30 Off in private sale . Send BNB(BEP20) (Min 0.2 BNB) to official address : 0xb06d242441222506aDa80D60675eecB02745aB24
and receive your token instantly on your wallet"
63,This dude made this video yesterday and its already crossed 10k holders
64,"I put 50 bucks 3 days ago, already on 500! Whoever is reading this, PUT YOUR MONEY HERE"
